battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
0.0842,0,0.22000000000000003,0,0.01,0,0.07,0.06,0.188,0.2,0.02,0.002,0.0756,mid,0.09,0.07,0.19,1,0,1,0.1
0.1021,1,0.05,1,0.0,1,0.53,0.06999999999999999,0.136,0.3,0.06,0.0905,0.1988,mid,0.17,0.03,0.07,1,1,0,0.2
0.0563,1,0.05,1,0.02,1,0.41,0.09,0.145,0.5,0.06,0.1263,0.1716,mid,0.11,0.02,0.09,1,1,0,0.2
0.0615,1,0.25,0,0.0,0,0.1,0.08,0.131,0.6,0.09,0.1216,0.1786,high,0.16,0.08,0.11,1,0,0,0.2
0.1821,1,0.12,0,0.13,1,0.44,0.06,0.141,0.2,0.14,0.1208,0.1212,low,0.08,0.02,0.15,1,1,0,0.1
0.1859,0,0.05,1,0.03,0,0.22,0.06999999999999999,0.164,0.1,0.07,0.1004,0.1654,low,0.17,0.01,0.1,1,0,0,0.1
0.1821,0,0.16999999999999998,0,0.04,1,0.1,0.08,0.139,0.8,0.1,0.0381,0.1018,high,0.13,0.08,0.18,1,0,1,0.3
0.1954,0,0.05,1,0.0,0,0.24,0.08,0.187,0.4,0.0,0.0512,0.1149,low,0.16,0.03,0.05,1,1,1,0.0
0.1445,1,0.05,0,0.0,0,0.53,0.06999999999999999,0.174,0.7,0.14,0.0386,0.0836,low,0.17,0.01,0.2,1,0,0,0.0
0.0509,1,0.06,1,0.02,1,0.09,0.01,0.093,0.5,0.15,0.1137,0.1224,low,0.19,0.1,0.12,1,0,0,0.0
0.0769,1,0.29,1,0.0,0,0.09,0.01,0.182,0.5,0.01,0.0248,0.0874,high,0.05,0.02,0.07,1,0,0,0.3
0.152,1,0.22000000000000003,0,0.05,1,0.33,0.05,0.177,0.8,0.18,0.0151,0.1005,high,0.14,0.09,0.13,1,1,1,0.3
0.1815,0,0.27999999999999997,0,0.02,0,0.33,0.06,0.159,0.4,0.17,0.0607,0.0748,mid,0.18,0.0,0.02,1,0,0,0.1
0.0803,1,0.21000000000000002,0,0.07,0,0.17,0.1,0.198,0.4,0.11,0.0344,0.144,mid,0.07,0.01,0.04,1,0,1,0.2
0.1866,0,0.05,0,0.13,1,0.52,0.06999999999999999,0.185,0.1,0.17,0.0356,0.0563,low,0.14,0.09,0.03,1,0,1,0.0
0.0775,0,0.1,0,0.03,0,0.46,0.06999999999999999,0.159,0.2,0.16,0.0862,0.1864,low,0.17,0.15,0.11,1,1,1,0.0
0.0838,0,0.05,0,0.01,1,0.13,0.01,0.196,0.8,0.04,0.0984,0.185,high,0.1,0.09,0.19,1,0,1,0.3
0.0595,0,0.09,1,0.07,1,0.23,0.01,0.121,0.3,0.17,0.0441,0.081,high,0.1,0.02,0.18,1,1,0,0.3
0.1131,1,0.05,1,0.11,0,0.49,0.06,0.101,0.5,0.18,0.0658,0.0878,mid,0.19,0.13,0.16,1,1,0,0.1
0.0682,1,0.05,0,0.04,0,0.19,0.1,0.121,0.4,0.11,0.0902,0.1064,mid,0.11,0.01,0.18,1,1,1,0.1
0.0772,0,0.11000000000000001,1,0.12,0,0.39,0.08,0.081,0.7,0.14,0.1314,0.1854,high,0.17,0.15,0.03,1,1,0,0.3
0.1709,1,0.21000000000000002,0,0.01,0,0.13,0.1,0.156,0.2,0.02,0.0974,0.1385,high,0.17,0.01,0.15,1,0,0,0.3
0.1949,0,0.26,1,0.04,0,0.47,0.03,0.199,0.4,0.07,0.0407,0.0822,low,0.11,0.05,0.2,1,0,1,0.1
0.1602,1,0.27999999999999997,1,0.04,1,0.38,0.06999999999999999,0.114,0.3,0.2,0.0466,0.0788,low,0.08,0.07,0.2,1,0,0,0.0
0.0503,0,0.12,1,0.05,1,0.08,0.04,0.111,0.3,0.13,0.0201,0.1245,mid,0.11,0.0,0.12,1,0,0,0.1
0.0961,1,0.13999999999999999,1,0.0,1,0.57,0.06,0.114,0.8,0.03,0.0291,0.1434,high,0.18,0.09,0.07,1,1,1,0.2
